Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
6,Davis,Sacramento Valley,Nov 2022,2.22, ,1.49, ,241, ,7.5, ,62.6, ,37.3, ,48.9, ,87, ,40, ,63, ,36.5, ,5.0, ,51.1, 
6,Davis,Sacramento Valley,Dec 2022,0.79, ,6.93, ,129, ,8.9,K,52.3,K,38.1, ,44.7, ,97, ,72, ,88,K,41.2,K,4.8,K,47.6, 
7,Firebaugh/Telles,San Joaquin Valley,Jan 2022,,N,0.01, ,115, ,9.4, ,59.6, ,36.7, ,47.7, ,98, ,60, ,83, ,42.7, ,2.5, ,46.9, 
7,Firebaugh/Telles,San Joaquin Valley,Feb 2022,,N,0.79, ,310,K,6.8,K,66.4,K,35.1,K,50.9, ,80, ,32, ,52,K,33.9,K,3.1, ,48.2,K
7,Firebaugh/Telles,San Joaquin Valley,Mar 2022,,N,1.38, ,470,K,8.9,K,72.9,K,43.4, ,58.2,K,82, ,33, ,53,K,40.5,K,3.6, ,57.1, 
7,Firebaugh/Telles,San Joaquin Valley,Apr 2022,,N,0.42, ,602,K,9.0,K,76.3,K,46.3,K,61.5,K,79, ,28, ,49,L,40.9,L,4.0, ,62.2, 
7,Firebaugh/Telles,San Joaquin Valley,May 2022,,N,0.00, ,725,K,9.0,K,83.8, ,51.8,K,68.4,K,66, ,22, ,38,K,41.3,K,4.5, ,67.6, 
7,Firebaugh/Telles,San Joaquin Valley,Jun 2022,,N,0.03, ,712,K,11.3,K,93.7, ,60.0,K,77.4, ,62, ,20, ,35,K,47.1,K,4.1, ,74.3, 
7,Firebaugh/Telles,San Joaquin Valley,Jul 2022,,N,0.00, ,706,K,13.7,K,96.5, ,63.4, ,79.9, ,66, ,23, ,40,K,52.7,K,3.8, ,76.7, 
7,Firebaugh/Telles,San Joaquin Valley,Aug 2022,,N,0.00, ,642,K,14.5, ,97.3, ,63.7,K,79.9,K,69, ,24, ,42,K,54.4,K,3.4, ,77.3, 
7,Firebaugh/Telles,San Joaquin Valley,Sep 2022,0.50,L,0.04, ,516,K,13.3, ,93.1,K,61.7,K,77.0,K,69, ,26, ,45,L,52.0,L,3.2, ,74.9,K
7,Firebaugh/Telles,San Joaquin Valley,Oct 2022,,N,0.00, ,389,K,10.8, ,83.0, ,51.4,K,66.5,K,72, ,28, ,48,K,45.9,K,2.9, ,66.4, 
7,Firebaugh/Telles,San Joaquin Valley,Nov 2022,,N,0.76, ,131, ,7.8, ,62.1, ,35.2, ,48.1, ,90, ,43, ,67, ,37.7, ,2.7, ,49.2,K
7,Firebaugh/Telles,San Joaquin Valley,Dec 2022,,N,2.94, ,78, ,9.9,K,52.4,K,39.2, ,45.5,K,100, ,80, ,93,L,43.3,L,3.4,K,46.9, 
12,Durham,Sacramento Valley,Jan 2022,1.70, ,0.09, ,211, ,8.0, ,61.0, ,35.0, ,46.3, ,97, ,48, ,75, ,38.3, ,3.2, ,46.5, 
12,Durham,Sacramento Valley,Feb 2022,2.77,K,0.00, ,340,K,6.7, ,67.8,K,35.6,K,50.5,K,86, ,27, ,55,L,33.4,L,3.6, ,48.7, 
12,Durham,Sacramento Valley,Mar 2022,3.99, ,0.91, ,414,K,9.1,K,71.6, ,42.5,K,56.9,K,89, ,32, ,57,K,41.0,K,3.6, ,55.6, 
12,Durham,Sacramento Valley,Apr 2022,5.17, ,0.65, ,502,K,8.6,K,73.5,K,44.7,K,59.0, ,86, ,28, ,52,K,39.9,K,4.6,K,61.2, 
12,Durham,Sacramento Valley,May 2022,7.04, ,0.26,K,629,K,10.0, ,80.6, ,51.2,K,66.0,K,79, ,26, ,47,K,43.8,K,4.5,K,68.1, 
12,Durham,Sacramento Valley,Jun 2022,7.52,K,0.28, ,674,K,14.0, ,89.2, ,57.6,K,73.8,K,84, ,27, ,49,K,53.0,K,3.6,K,74.6, 
12,Durham,Sacramento Valley,Jul 2022,7.51,K,0.00, ,663,K,16.6, ,92.1, ,59.5, ,76.2, ,88, ,33, ,54, ,58.1, ,2.9, ,77.2, 
12,Durham,Sacramento Valley,Aug 2022,6.59,K,0.00,K,583,K,17.1,K,94.0,K,59.5,K,76.6,K,91,K,31,K,55,K,59.0,K,2.4,K,75.8,K
12,Durham,Sacramento Valley,Sep 2022,4.46,K,0.47, ,436,K,16.1, ,89.7,K,57.7,L,71.5,K,92, ,34, ,63,L,57.1,L,2.3, ,71.6, 
12,Durham,Sacramento Valley,Oct 2022,3.47,K,0.02, ,355,K,11.9, ,83.9, ,47.9, ,63.1,K,92, ,28, ,59,K,48.3,K,2.3, ,64.1, 
12,Durham,Sacramento Valley,Nov 2022,1.70, ,1.21, ,215,K,7.6, ,62.4,K,34.8, ,46.8,K,97, ,39, ,69,K,36.9,K,3.1, ,51.3, 
12,Durham,Sacramento Valley,Dec 2022,0.77,K,5.97, ,131, ,8.9,K,53.5,K,36.6, ,44.2, ,99, ,69, ,89,K,41.0,K,3.2, ,46.9, 
13,Camino,Sierra Foothill,Jan 2022,2.22, ,0.46, ,253, ,5.8, ,58.3, ,39.7, ,47.4, ,73, ,38, ,53, ,30.2, ,5.0, ,44.6, 
13,Camino,Sierra Foothill,Feb 2022,3.06, ,0.44,K,357,K,4.9,K,60.8,K,39.5,K,49.4,K,64, ,26, ,42,K,25.9,K,5.4, ,46.6, 
13,Camino,Sierra Foothill,Mar 2022,4.16, ,1.16, ,409,K,7.2,K,62.7, ,42.8,K,52.3, ,74, ,39, ,54,K,34.9,K,5.3, ,49.9, 
13,Camino,Sierra Foothill,Apr 2022,5.07, ,5.98, ,526,K,7.4, ,63.5,K,43.4,K,53.2,K,77, ,39, ,56,K,36.4,K,5.9,K,52.9, 
13,Camino,Sierra Foothill,May 2022,7.13, ,0.23, ,648,K,7.9,K,72.4, ,48.6,K,60.9,K,66, ,30, ,45,K,37.7,K,5.6, ,56.7, 
13,Camino,Sierra Foothill,Jun 2022,8.04, ,0.46, ,675,K,9.2, ,83.7, ,58.9, ,71.4, ,58, ,23, ,37, ,41.8, ,5.5,K,63.4, 
13,Camino,Sierra Foothill,Jul 2022,9.01, ,0.00, ,673,K,10.8, ,92.0, ,67.0, ,79.0, ,51, ,20, ,33, ,46.0, ,5.0,K,68.7, 
13,Camino,Sierra Foothill,Aug 2022,8.48, ,0.03,K,613,K,10.9,K,95.1,K,68.8, ,81.1,K,47,K,19,K,30,K,46.1,K,4.9,K,71.3,K
13,Camino,Sierra Foothill,Sep 2022,6.17,K,1.26, ,462, ,10.2, ,87.9,K,63.5,K,74.3,K,57, ,26, ,40,L,44.7,L,5.1,K,69.4, 
13,Camino,Sierra Foothill,Oct 2022,4.82, ,0.01, ,395,K,7.6, ,78.9, ,54.8, ,65.6, ,52, ,22, ,35, ,36.6, ,4.9, ,62.2, 
13,Camino,Sierra Foothill,Nov 2022,1.95, ,3.26,K,242,K,5.8, ,56.8,K,38.4, ,46.3, ,73, ,40, ,57, ,29.9, ,5.2,K,50.8, 
13,Camino,Sierra Foothill,Dec 2022,1.09, ,17.66, ,151, ,7.1, ,51.7,K,37.0, ,43.3, ,88, ,59, ,75, ,35.3, ,6.1,K,45.8, 
15,Stratford,San Joaquin Valley,Jan 2022,1.71, ,0.07, ,242,K,8.8,K,60.8, ,35.3, ,46.8, ,97,K,56,K,81, ,41.0, ,3.1, ,52.5, 
15,Stratford,San Joaquin Valley,Feb 2022,2.96, ,0.11, ,367,K,6.7,K,67.4,K,32.9,K,49.7,K,84, ,30, ,55,K,33.9,K,4.0, ,51.4, 
15,Stratford,San Joaquin Valley,Mar 2022,4.68, ,1.06, ,459,K,8.8, ,72.9,K,41.8, ,57.7,K,81, ,34, ,54,K,40.6,K,5.0,K,54.1, 
15,Stratford,San Joaquin Valley,Apr 2022,6.83, ,0.08, ,586,K,8.3,K,77.5,K,45.7,K,62.5,K,69, ,26, ,43,K,39.1,K,6.7,K,58.1, 
15,Stratford,San Joaquin Valley,May 2022,9.21, ,0.00, ,694,K,8.8, ,84.9, ,51.4,K,69.6,K,58, ,22, ,35,K,40.6,K,7.6,K,62.7, 
15,Stratford,San Joaquin Valley,Jun 2022,9.80, ,0.00, ,708,K,11.1, ,94.2,K,59.6, ,78.9, ,55, ,21, ,33, ,46.9, ,7.0,K,69.8, 
15,Stratford,San Joaquin Valley,Jul 2022,9.68, ,0.00, ,675, ,13.3, ,99.2,K,65.1,K,83.4, ,56, ,21, ,34, ,51.8, ,5.7, ,74.8, 
15,Stratford,San Joaquin Valley,Aug 2022,8.90, ,0.00, ,608, ,14.3, ,100.2,K,66.4,K,83.8,K,59, ,23, ,36,K,53.9,K,5.3,K,77.3, 
15,Stratford,San Joaquin Valley,Sep 2022,6.67,K,0.03, ,500,K,13.4,K,94.6,K,63.4,K,79.2,K,62,K,26,K,42,L,51.9,L,4.9, ,75.8, 
15,Stratford,San Joaquin Valley,Oct 2022,4.76,K,0.00, ,387, ,10.4, ,85.2, ,50.7, ,67.4, ,66, ,27, ,44, ,44.6, ,4.1,K,70.1, 
15,Stratford,San Joaquin Valley,Nov 2022,2.25,K,0.47, ,269, ,7.2, ,64.9, ,33.4,K,48.1, ,86, ,38, ,63, ,35.6, ,3.4, ,59.7, 
15,Stratford,San Joaquin Valley,Dec 2022,0.88,K,2.09, ,142, ,9.3,K,52.9,K,38.4,K,45.4,K,98, ,75, ,89,K,42.2,K,3.9,K,55.2, 
35,Bishop,Bishop,Jan 2022,2.04,K,0.00, ,287,K,3.6, ,58.4, ,20.8, ,37.5, ,80, ,21, ,48, ,18.7, ,2.4, ,38.0, 
35,Bishop,Bishop,Feb 2022,3.00, ,0.00, ,384,K,2.9, ,62.5, ,23.3,K,41.9,K,63, ,13, ,32,K,13.7,K,3.8,K,40.4, 
35,Bishop,Bishop,Mar 2022,4.93,K,0.12, ,459,K,3.9,K,69.0, ,30.6,K,50.6,K,63, ,13, ,30,K,19.9,K,4.6,K,46.4, 
35,Bishop,Bishop,Apr 2022,6.73,K,0.05, ,633,K,4.1, ,75.2, ,33.6,K,57.3, ,63, ,12, ,26, ,21.9, ,4.6,K,53.4, 
35,Bishop,Bishop,May 2022,7.88,K,0.00, ,716,K,5.0, ,81.3,K,39.7,K,63.3,K,58, ,12, ,24,K,26.3,K,3.8,K,59.1, 
35,Bishop,Bishop,Jun 2022,8.13,K,0.00, ,714,K,8.1, ,90.7, ,47.7,K,72.6, ,64, ,15, ,29, ,38.3, ,3.1,K,66.7, 
35,Bishop,Bishop,Jul 2022,8.47,K,0.21,K,675,K,11.5,K,97.7, ,55.6,K,79.1, ,69, ,18, ,34,K,47.4,K,3.1, ,71.3, 
35,Bishop,Bishop,Aug 2022,7.05,K,0.71,K,582,K,13.8,K,95.6,K,56.1,K,76.9,K,78,K,25,K,42,L,52.1,L,2.9,K,71.0,K
35,Bishop,Bishop,Sep 2022,5.63,K,0.65,K,509, ,10.9,K,90.8,K,48.5,K,69.6,K,78, ,23, ,40,L,44.2,L,2.9,K,65.9, 
35,Bishop,Bishop,Oct 2022,4.00,K,0.00, ,409,K,6.1, ,81.2,K,34.2, ,55.8, ,74, ,16, ,39, ,30.9, ,2.3,K,57.5, 
35,Bishop,Bishop,Nov 2022,2.29,K,0.65, ,296,K,3.7, ,60.5,K,21.8, ,39.7, ,77, ,20, ,45, ,19.4, ,3.3, ,45.5, 
35,Bishop,Bishop,Dec 2022,1.50, ,2.73, ,222, ,4.9,K,54.6, ,22.5, ,37.3, ,91, ,34, ,64,K,25.8,K,2.8,K,46.3,K
39,Parlier,San Joaquin Valley,Jan 2022,1.61,K,0.09, ,247,K,8.8,K,61.3, ,35.1, ,46.1, ,96,K,58,K,91,L,43.1,L,2.1, ,50.0, 
39,Parlier,San Joaquin Valley,Feb 2022,2.66,K,0.15,K,375,K,6.7,K,66.9,K,34.4,K,49.2,K,84,K,27,K,59,L,36.0,L,2.8,K,51.1,K
39,Parlier,San Joaquin Valley,Mar 2022,4.07, ,1.37, ,444,K,9.7, ,72.4,K,42.8, ,56.6, ,91, ,35, ,62, ,43.3, ,3.5, ,58.3, 
39,Parlier,San Joaquin Valley,Apr 2022,5.78, ,0.21, ,590,K,9.7,K,76.0,K,46.2, ,61.4,K,86, ,29, ,52,K,43.4,K,4.5,K,64.3, 
39,Parlier,San Joaquin Valley,May 2022,7.92, ,0.00, ,689, ,10.3,K,83.5, ,51.5,K,68.3, ,79, ,23, ,43,K,44.7,K,5.0,K,69.9, 
39,Parlier,San Joaquin Valley,Jun 2022,8.58, ,0.05, ,707,K,12.7, ,93.8,K,59.3,K,77.6, ,74, ,20, ,39, ,50.5, ,4.9,K,76.0, 
39,Parlier,San Joaquin Valley,Jul 2022,8.77,K,0.00, ,675,K,15.1,L,98.5,K,64.4,K,81.9,K,75,K,22,K,41,L,55.3,L,4.3,K,79.3, 
39,Parlier,San Joaquin Valley,Aug 2022,7.79,K,0.10, ,610,K,15.6,K,99.7, ,65.1,K,82.0,K,78,K,22,K,43,L,57.0,L,3.8,K,80.8, 
39,Parlier,San Joaquin Valley,Sep 2022,5.82,K,0.12, ,499,K,15.8, ,93.8,K,62.1,K,77.2,K,81, ,28, ,50,K,56.6,K,3.6, ,78.0, 
39,Parlier,San Joaquin Valley,Oct 2022,4.04, ,0.00, ,401, ,12.9, ,83.2, ,49.6, ,64.9, ,90, ,32, ,60, ,50.6, ,2.8, ,69.6, 
39,Parlier,San Joaquin Valley,Nov 2022,1.96, ,0.17,K,275,K,8.2, ,63.6, ,34.3, ,46.8,K,96, ,44, ,75,K,39.2,K,2.8,K,54.4, 
39,Parlier,San Joaquin Valley,Dec 2022,0.78,K,2.92,K,140,K,9.3,K,52.4,K,38.3,K,44.9,K,99, ,76, ,91,K,42.2,K,3.4,K,50.3, 
41,Calipatria/Mulberry,Imperial/Coachella Valley,Jan 2022,2.76, ,0.00, ,322,K,7.3, ,71.8, ,37.0, ,52.6, ,85, ,24, ,54, ,36.0, ,3.4, ,42.8,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Feb 2022,3.97,K,0.00, ,447,K,6.4, ,74.3, ,36.0,K,54.4,K,79, ,18, ,43,K,32.1,K,4.6,K,43.8,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Mar 2022,6.17, ,0.03, ,558,K,8.2,K,81.5, ,44.6,K,62.8, ,78, ,18, ,41,K,38.7,K,5.0,K,50.1,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Apr 2022,7.71, ,0.00, ,678,K,9.5, ,88.3, ,50.8, ,70.2, ,72, ,17, ,38, ,42.6, ,5.1,K,59.3,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,May 2022,8.99, ,0.00, ,736,K,10.9,K,94.8, ,56.7,K,76.5, ,68, ,16, ,35,K,46.3,K,4.9, ,69.3,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Jun 2022,9.74, ,0.00, ,746,K,14.8,K,104.9, ,67.7,K,87.0,K,62, ,16, ,33,K,54.0,K,5.3,K,77.5, 
41,Calipatria/Mulberry,Imperial/Coachella Valley,Jul 2022,9.80, ,0.50, ,676,K,18.1, ,107.5, ,76.3, ,92.0, ,58, ,19, ,35, ,59.6, ,5.6, ,82.6, 
41,Calipatria/Mulberry,Imperial/Coachella Valley,Aug 2022,8.75, ,0.00, ,570, ,23.4, ,105.7,K,80.9, ,93.1, ,68, ,28, ,44, ,67.9, ,5.7, ,83.6,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Sep 2022,6.93,K,0.23, ,502,K,19.5, ,101.8,K,74.9,K,87.8,K,67,K,26,K,43, ,61.8, ,4.7,K,77.1,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Oct 2022,5.06,K,1.38, ,431,K,14.5, ,90.8, ,61.7,K,75.3, ,76, ,24, ,46, ,52.5, ,3.9, ,63.9,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Nov 2022,3.52, ,0.08,K,353,K,7.0,K,74.3, ,41.6, ,57.3, ,74, ,20, ,43,K,34.2,K,4.4,K,46.1,K
41,Calipatria/Mulberry,Imperial/Coachella Valley,Dec 2022,2.11, ,0.09, ,272, ,8.7,K,68.6,K,39.0,K,52.1,K,91, ,36, ,64,K,40.2,K,3.2, ,40.5,K
43,McArthur,Northeast Plateau,Jan 2022,1.36,K,0.22,K,244,K,5.4,K,50.5, ,22.4,K,34.8,K,98,K,51,K,78,K,28.2,K,4.3,K,38.0,K
43,McArthur,Northeast Plateau,Feb 2022,2.41, ,0.03,K,358,K,4.5,K,57.3,K,19.4,K,37.5,K,94, ,27, ,58,K,23.8,K,4.9, ,38.5, 
43,McArthur,Northeast Plateau,Mar 2022,3.75,K,0.72,K,433,K,6.2,K,60.7, ,27.7,K,44.1,K,94, ,34, ,61,K,31.3,K,5.4, ,43.8, 
43,McArthur,Northeast Plateau,Apr 2022,4.73,K,2.71,K,538,K,6.2, ,59.5,K,29.9,K,45.2,K,92, ,36, ,61,K,31.7,K,6.8,K,48.1, 
43,McArthur,Northeast Plateau,May 2022,6.20,K,0.48,K,630,K,7.7, ,67.4,K,36.0,K,52.8,K,90, ,34, ,56,K,37.1,K,6.0,K,54.6,K
43,McArthur,Northeast Plateau,Jun 2022,7.54, ,0.57, ,697,K,9.8, ,78.5, ,42.9,K,62.5,K,91, ,29, ,51,K,43.6,K,4.9, ,60.4, 
43,McArthur,Northeast Plateau,Jul 2022,8.69,K,0.00, ,712,K,10.7,K,90.4,K,47.8,K,70.7,K,87, ,21, ,42,K,45.8,K,4.8,K,65.1,K
43,McArthur,Northeast Plateau,Aug 2022,7.32, ,0.02, ,626,K,12.0,K,89.7, ,49.6,K,70.0, ,90, ,24, ,47,K,48.9,K,4.2, ,68.2, 
43,McArthur,Northeast Plateau,Sep 2022,5.07, ,0.48, ,498,K,10.2,K,82.6,K,42.4,K,61.6,K,92, ,30, ,57,L,44.6,L,4.0, ,62.7,K
43,McArthur,Northeast Plateau,Oct 2022,3.42, ,0.02, ,385,K,7.1, ,75.9, ,30.8, ,51.6,K,93, ,25, ,54,K,35.2,K,3.3,K,54.9, 
43,McArthur,Northeast Plateau,Nov 2022,1.32, ,1.33,K,225,K,5.0, ,48.6, ,20.7, ,33.8, ,98, ,48, ,75, ,26.5, ,4.2,K,43.5, 
43,McArthur,Northeast Plateau,Dec 2022,0.79,K,5.21,K,138,K,3.3,K,36.3,K,20.0,K,27.6,K,83,K,41,K,70,L,9.2,L,3.5,K,37.4, 
44,U.C. Riverside,Los Angeles Basin,Jan 2022,3.01, ,0.12, ,294,K,6.0,K,68.2, ,44.7, ,56.0, ,65, ,23, ,40,K,29.7,K,4.3,K,51.4, 
44,U.C. Riverside,Los Angeles Basin,Feb 2022,3.96, ,0.07, ,425,K,4.8,K,70.5, ,43.9,K,57.1,K,57,K,19,K,33,K,23.8,K,5.0,K,51.8, 
44,U.C. Riverside,Los Angeles Basin,Mar 2022,5.39,K,0.70, ,521,K,7.8,K,73.8,K,48.2, ,60.3,K,73,K,25,K,45,K,36.4,K,4.7,K,56.7, 
44,U.C. Riverside,Los Angeles Basin,Apr 2022,6.05,K,0.23, ,595,K,9.8, ,76.4,K,51.4, ,63.2,K,80, ,31, ,52,K,43.0,K,4.3, ,62.5, 
44,U.C. Riverside,Los Angeles Basin,May 2022,6.54, ,0.05, ,624,K,12.0,K,78.5, ,54.2,K,64.9, ,83, ,37, ,58,K,48.6,K,4.4, ,66.5, 
44,U.C. Riverside,Los Angeles Basin,Jun 2022,7.96,K,0.01, ,714,K,14.0,K,89.9, ,61.3, ,74.3, ,77, ,28, ,50,K,53.1,K,4.4,K,72.8, 
44,U.C. Riverside,Los Angeles Basin,Jul 2022,8.15, ,0.00, ,697,K,15.6, ,91.1, ,63.6, ,76.0, ,80, ,29, ,51, ,56.3, ,4.2, ,72.8, 
44,U.C. Riverside,Los Angeles Basin,Aug 2022,7.86,K,0.00, ,627, ,15.4, ,94.3, ,66.8, ,79.3, ,72, ,27, ,46, ,55.8, ,3.9, ,73.3, 
44,U.C. Riverside,Los Angeles Basin,Sep 2022,5.74,K,0.81, ,501,K,17.4,K,92.0, ,66.8,K,77.6,K,80,K,33,K,55,K,59.1,K,3.6,K,75.8, 
44,U.C. Riverside,Los Angeles Basin,Oct 2022,3.87, ,0.28, ,399,K,14.2, ,80.9, ,57.0, ,67.3, ,89, ,37, ,62, ,52.4, ,3.3, ,69.3, 
44,U.C. Riverside,Los Angeles Basin,Nov 2022,2.97, ,1.22,K,335,K,6.7, ,68.4, ,44.2, ,55.9, ,69, ,26, ,45, ,31.7, ,4.0,K,57.6, 
